x,y,z,distance,label
-32,-3,51,3.741657387,0
-30,-4,54,6.08276253,0
-36,-4,53,6.480740698,0
-31,-3,57,6.164414003,0
-32,-4,51,7.071067812,0
-39,-3,51,5.099019514,0
-35,-2,54,12.40967365,0
-43,-5,45,2.449489743,0
-42,-4,47,4.69041576,0
-40,-1,50,9.695359715,0
-46,-4,43,1.414213562,0
-46,-3,44,2.236067977,0
-46,-1,45,1,0
-45,-1,45,3,0
-47,-2,43,3,0
-49,-3,41,2,0
-47,-3,41,4.582575695,0
-46,-1,45,1.414213562,0
-47,-1,44,2.449489743,0
-48,-2,42,1.732050808,0
-47,-1,43,1.732050808,0
-48,-2,42,1.414213562,0
-48,-1,43,1,0
-48,0,43,3,0
-49,-2,41,1,0
-49,-2,40,2.236067977,0
-48,-2,42,3.605551275,0
-50,-2,39,1,0
-50,-2,40,3.741657387,0
-48,-1,43,1,0
-48,-1,42,3,0
-50,-2,40,1.414213562,0
-49,-3,40,2.449489743,0
-50,-1,41,2.236067977,0
-50,-2,39,1.414213562,0
-49,-2,40,1,0
-49,-2,41,1.732050808,0
-50,-1,40,1.732050808,0
-49,-2,41,8.062257748,0
-54,-4,35,3.741657387,0
-53,-6,32,5.830951895,0
-53,-3,37,2.236067977,0
-53,-4,35,1.732050808,0
-54,-3,34,1.732050808,0
-53,-4,35,2.828427125,0
-55,-4,33,2.449489743,0
-54,-3,35,1,0
-54,-3,36,1.414213562,0
-54,-4,35,1.732050808,0
-53,-5,34,2.449489743,0
-54,-6,32,1.414213562,0
-54,-5,33,2.236067977,0
-56,-4,33,2.236067977,0
-57,-4,31,2.449489743,0
-56,-5,29,0,0
-56,-5,29,2,0
-56,-5,31,1.732050808,0
-57,-4,30,2.236067977,0
-56,-4,32,1,0
-55,-4,32,0,0
-55,-4,32,5.099019514,0
-58,-5,28,3.741657387,0
-56,-4,31,2.449489743,0
-58,-3,30,2.449489743,0
-57,-4,28,2.236067977,0
-56,-4,30,2.236067977,0
-55,-4,32,1.414213562,0
-56,-3,32,2.236067977,0
-55,-3,34,4.242640687,0
-56,-4,30,2,0
-56,-4,32,1.414213562,0
-56,-3,31,1,0
